physics,gw_on,initial_stable,stability_ratio,stability_ratio_crit,merged,merger_time_yr,max_e_in,min_r_in_au,final_a_in_au,final_e_in,t_end_yr,status,m1,m2,m3,a_in,e_in,a_out,e_out,inc_out_deg,Omega_in_deg,omega_in_deg,f_in_deg,Omega_out_deg,omega_out_deg,f_out_deg
PN,1,1,40.0,5.618557927205626,0,,0.20139117963360886,0.16155361748812708,0.1971794707553164,0.17533414943237893,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,70.0,63.638201858123416,308.3811422732552,273.06703074067565,259.00666414233723,155.55349431903733,225.83118265287956
Newtonian,1,1,40.0,5.40653687334881,1,1003.3444816053513,0.9886431973900387,0.049213721908584036,0.199307206248642,0.9886431973900387,1003.3444816053513,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,210.2752688085848,233.9447765597352,30.399955610360074,149.69066478141946,14.981102590281292,177.83669492802682
PN,1,1,40.0,5.40653687334881,0,,0.9854535830832828,0.09779804456595473,6.925645930962216,0.9854535830832828,8394.648829431437,left_hierarchical_regime,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,210.2752688085848,233.9447765597352,30.399955610360074,149.69066478141946,14.981102590281292,177.83669492802682
Newtonian,1,1,40.0,5.40653687334881,1,1772.5752508361206,0.9888062488414906,0.10364264770496566,0.19923474503981892,0.9888062488414906,1772.5752508361206,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,118.75003643980271,52.02870799177688,37.22506838011859,211.55204598397634,61.413468673279,333.043242615647
PN,1,1,40.0,5.40653687334881,0,,0.6977483597804965,0.08113453052403355,0.1909889367998488,0.4530951790528457,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,118.75003643980271,52.02870799177688,37.22506838011859,211.55204598397634,61.413468673279,333.043242615647
Newtonian,1,1,40.0,5.40653687334881,1,1438.1270903010036,0.9889582493217515,0.1140610328810198,0.19933218620221746,0.9889582493217515,1438.1270903010036,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,209.1820102921422,124.87312963254135,212.72957693331003,8.209393570691098,345.08131676692034,173.62923729944407
PN,1,1,40.0,5.40653687334881,0,,0.5302801326313462,0.09512820483153962,0.19547716870095797,0.43417976465310315,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,209.1820102921422,124.87312963254135,212.72957693331003,8.209393570691098,345.08131676692034,173.62923729944407
Newtonian,1,1,40.0,5.40653687334881,1,1404.6822742474915,0.9896768456860462,0.05901083449908091,0.19922519107472697,0.9896768456860462,1404.6822742474915,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,281.78468181010305,29.782799972077886,175.19699910173773,176.65451796762753,337.6175237909938,205.82209885538714
PN,1,1,40.0,5.40653687334881,0,,0.5000079128440974,0.1047291432947934,0.1957556149248542,0.44268973295422215,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,281.78468181010305,29.782799972077886,175.19699910173773,176.65451796762753,337.6175237909938,205.82209885538714
Newtonian,1,1,40.0,5.40653687334881,1,802.6755852842809,0.9841636811329558,0.08978484801287355,0.19965365872139035,0.9841636811329558,802.6755852842809,merged_fast_GW,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,170.45618438050337,96.11123871308169,119.36483904331878,187.4420648897536,158.0081257098168,7.780348756918953
PN,1,1,40.0,5.40653687334881,0,,0.47567900980986333,0.11262021770029636,0.19605311299326075,0.29278497459593844,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,90.0,170.45618438050337,96.11123871308169,119.36483904331878,187.4420648897536,158.0081257098168,7.780348756918953
Newtonian,1,1,40.0,5.194515819491994,0,,0.9528086452665359,0.04098442388808969,0.19631106830012432,0.3415118709492135,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,297.4650927099688,322.617877862316,50.48967203949988,199.4530116740578,39.08726680875968,242.0064334943322
PN,1,1,40.0,5.194515819491994,0,,0.3421434009053954,0.13367902593492006,0.19657929366649857,0.12380125141395314,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,297.4650927099688,322.617877862316,50.48967203949988,199.4530116740578,39.08726680875968,242.0064334943322
Newtonian,1,1,40.0,5.194515819491994,0,,0.9528584200843083,0.045598532790155355,0.1976452836906722,0.9210309336497947,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,101.244162182043,237.39214848908463,261.71806114327774,276.71309709035654,38.786740544122765,329.7642642495388
PN,1,1,40.0,5.194515819491994,0,,0.2868178552145515,0.1515307395489898,0.19655851126937218,0.054252076285460915,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,101.244162182043,237.39214848908463,261.71806114327774,276.71309709035654,38.786740544122765,329.7642642495388
Newtonian,1,1,40.0,5.194515819491994,0,,0.95127914381046,0.08474087547810245,0.19756258853344427,0.08520899309903726,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,82.8770367221571,13.46852022342472,199.74688898093402,133.53202219047796,298.7243075276687,290.9705299431487
PN,1,1,40.0,5.194515819491994,0,,0.3457561773930217,0.13064351296420712,0.1964259317183752,0.19095629537818512,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,82.8770367221571,13.46852022342472,199.74688898093402,133.53202219047796,298.7243075276687,290.9705299431487
Newtonian,1,1,40.0,5.194515819491994,0,,0.9502675522785572,0.018692696684266333,0.19574742412452314,0.6132690980069557,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,114.17000141617753,343.0437822251082,104.7304217304427,185.42056652341722,92.14743260433698,336.9756852176268
PN,1,1,40.0,5.194515819491994,0,,0.09931063068778152,0.18088848995492696,0.19686812932852008,0.04730875644531274,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,114.17000141617753,343.0437822251082,104.7304217304427,185.42056652341722,92.14743260433698,336.9756852176268
Newtonian,1,1,40.0,5.194515819491994,0,,0.9515411469139126,0.015671028053428047,0.19656893416703142,0.41465093227462746,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,59.25881432952653,16.167822981238437,156.63494160109366,357.25520306010134,321.00381585176905,269.49888700450174
PN,1,1,40.0,5.194515819491994,0,,0.21073273106182083,0.1590436665151425,0.19665012958912054,0.057532217934922164,10000.0,completed,30.0,20.0,10.0,0.2,0.1,8.0,0.4,110.0,59.25881432952653,16.167822981238437,156.63494160109366,357.25520306010134,321.00381585176905,269.49888700450174
